Q8,Q8_9_TEXT,Q9_1,Q10,Q10_6_TEXT,Q11,Q24,Q26,Q35,Q38,Q38_14_TEXT
1,,30,2,,1,3,3,1,"5,6,10,11",
2,,21,2,,3,2,2,4,"6,12",
2,,22,1,,1,1,2,4,"2,3,4,6,10",
7,,20,2,,1,3,3,5,"6,10,12",
7,,21,2,,3,5,3,4,"10,12,13,14",Part of school project
2,,21,2,,3,1,2,2,"2,4,6,7,8,9,10,11",
7,,20,2,,1,1,3,4,7,
7,,21,2,,1,2,3,2,"4,6,9,10,11,13",
7,,20,2,,3,2,2,3,10,
7,,20,1,,1,2,2,4,"4,5,6,9,10",
2,,21,2,,1,1,2,4,1,
5,,22,2,,3,2,3,4,"3,9,10,11",
2,,23,2,,1,2,2,4,6,
"4,6,9",Kenyan ,23,2,,3,1,4,4,"4,5,9,10,11,12",
4,,22,1,,1,2,2,4,"4,10,13",
1,,37,2,,1,3,2,5,1,
2,,22,1,,1,5,3,4,"5,6,9,10,11,13",
2,,21,2,,1,1,2,4,1,
2,,21,2,,1,1,2,4,"4,5,6,9,10,11,12",
2,,22,2,,1,1,2,4,"6,10",
"3,9",Bermudian,20,2,,1,1,4,4,10,
2,,22,2,,1,3,2,2,"2,5,6,10",
2,,18,2,,3,1,3,4,4,
2,,21,2,,3,1,3,4,"9,10,11",
5,,22,2,,3,1,3,1,1,
7,,21,1,,1,1,3,4,"3,4,6,10,12",
"2,7",,24,2,,3,1,3,5,"2,6,10,11,12,13,14",
7,,20,2,,1,2,2,4,1,
7,,21,2,,1,2,3,2,1,
7,,20,2,,1,3,2,5,"4,6,12",
7,,23,2,,3,1,2,4,"10,11",
"2,7,9",Mixed,20,6,Gender Queer ,4,5,3,7,"5,6,10,11,12,13",
"2,6",,20,1,,3,1,3,3,"4,6,10",
2,,21,2,,1,1,2,1,"4,5,6,10,11,12",
"2,7",,23,2,,3,2,3,6,1,
7,,21,2,,1,5,,3,"5,6,11",
7,,20,1,,1,4,2,4,1,
7,,20,2,,1,2,2,5,1,
"5,7",,25,1,,1,1,3,,1,
7,,20,2,,1,2,2,4,"6,9,10,11",
5,,22,1,,3,1,2,4,1,
4,,23,2,,1,1,4,4,"6,10,11",
2,,21,2,,3,1,2,4,1,
7,,21,2,,1,2,2,4,"4,5,6,9,10,11,13",
"1,2",,24,1,,1,3,3,5,5,
7,,21,2,,1,2,2,7,10,
4,,23,1,,1,1,3,4,"2,3,6,7,8,9,10,11,12,13",
3,,24,1,,5,2,4,2,"2,3,4,10,11",
2,,21,2,,4,3,2,4,1,
7,,22,2,,1,1,3,5,"2,5,6,12",
7,,21,2,,2,3,3,4,"2,3",
